Benchmarks,CPI,L1d_miss_rate,L1i_miss_rate,L2_miss_rate,L1i_size_kB,L1i_assoc,L1d_size_kB,L1d_assoc,L2_size_MB,L2_assoc,L1i_size_cost,L1d_size_cost,L2_size_cost,L1i_assoc_cost,L2_assoc_cost,M_cache,A_cache,Performance,Cost
spechmmer_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,1.185304,0.001629,0.000221,0.077747,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,0.83464186,19.60682093
spechmmer_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.180334,0.000879,0.000344,0.072074,32,2,64,2,2,4,3.2,6.4,204.8,0.2,0.4,54.720000000000006,0.25,0.83072105,19.604860525000003
spechmmer_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,1.18358,0.000694,0.000212,0.179969,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,0.83942732,20.39321366
spechmmer_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.178968,0.000386,0.000344,0.146335,32,2,128,2,2,4,3.2,12.8,204.8,0.2,0.4,56.96,0.25,0.83414656,20.39057328
spechmmer_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,1.18506,0.001631,8.7e-05,0.08046,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,0.83462208,20.05481104
spechmmer_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.17978,0.00088,8.2e-05,0.079899,64,2,64,2,2,4,6.4,6.4,204.8,0.2,0.4,56.0,0.25,0.83077932,20.052889659999998
spechmmer_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line64_cpu1GHz,1.183287,0.000695,8.7e-05,0.193925,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,0.8400484799999999,20.841524240000002
spechmmer_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l22MB_l2assoc4_line128_cpu1GHz,1.17834,0.000387,8.2e-05,0.182442,64,2,128,2,2,4,6.4,12.8,204.8,0.2,0.4,58.24,0.25,0.83584995,20.839424975
spechmmer_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,1.185304,0.001629,0.000221,0.077747,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,0.83464186,37.52682093
spechmmer_l1i32kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.180334,0.000879,0.000344,0.072074,32,2,64,2,4,4,3.2,6.4,409.6,0.2,0.4,105.92,0.25,0.83072105,37.524860524999994
spechmmer_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,1.18358,0.000694,0.000212,0.179969,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,0.83942732,38.31321366
spechmmer_l1i32kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.178968,0.000386,0.000344,0.146335,32,2,128,2,4,4,3.2,12.8,409.6,0.2,0.4,108.16000000000001,0.25,0.83414656,38.31057328
spechmmer_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,1.18506,0.001631,8.7e-05,0.08046,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,0.83462208,37.97481104
spechmmer_l1i64kB_l1iassoc2_l1d64kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.17978,0.00088,8.2e-05,0.079899,64,2,64,2,4,4,6.4,6.4,409.6,0.2,0.4,107.2,0.25,0.83077932,37.97288966
spechmmer_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line64_cpu1GHz,1.183287,0.000695,8.7e-05,0.193925,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,0.8400484799999999,38.76152424
spechmmer_l1i64kB_l1iassoc2_l1d128kB_l1dassoc2_l24MB_l2assoc4_line128_cpu1GHz,1.17834,0.000387,8.2e-05,0.182442,64,2,128,2,4,4,6.4,12.8,409.6,0.2,0.4,109.44000000000001,0.25,0.83584995,38.759424975
